Gene	Cytoband	(A) Negative	(B) Positive	(A) Negative	(B) Positive	Log2 Ratio	p-Value	q-Value	Higher expression in
MATN4	20q13.12	0.44	-1.26	1.25	0.72	1.70	1.27e-28	8.50e-27	(A) Negative
ATP7B	13q14.3	-0.87	0.53	1.02	1.02	-1.40	1.29e-28	8.66e-27	(B) Positive
ABRACL	6q24.1	1.33	0.19	0.83	0.76	1.14	1.35e-28	8.97e-27	(A) Negative
SFT2D2	1q24.2	2.14	1.06	0.79	0.60	1.07	1.39e-28	9.25e-27	(A) Negative
ST8SIA1	12p12.1	1.70	-0.32	1.49	1.19	2.02	1.63e-28	1.08e-26	(A) Negative
ANKRD30A	10p11.21	0.74	3.37	1.87	2.25	-2.62	1.91e-28	1.26e-26	(B) Positive
MRFAP1L1	4p16.1	-0.11	0.57	0.50	0.48	-0.68	1.91e-28	1.26e-26	(B) Positive
ACE2	Xp22.2	1.78	-0.65	1.79	1.31	2.43	1.92e-28	1.26e-26	(A) Negative
BTRC	10q24.32	0.35	1.06	0.50	0.65	-0.71	2.02e-28	1.32e-26	(B) Positive
FAM174A	5q21.1	0.31	1.48	0.87	0.67	-1.17	2.13e-28	1.38e-26	(B) Positive
EXOC6	10q23.33	-0.20	0.75	0.70	0.66	-0.95	2.17e-28	1.40e-26	(B) Positive
DNAH7	2q32.3	0.57	1.76	0.86	0.92	-1.19	2.18e-28	1.40e-26	(B) Positive
FBXL5	4p15.32	0.86	1.60	0.54	0.55	-0.75	2.18e-28	1.40e-26	(B) Positive
TP53INP1	8q22.1	0.55	1.57	0.75	0.75	-1.02	2.70e-28	1.73e-26	(B) Positive
EPB41L5	2q14.2	-0.08	0.67	0.55	0.57	-0.75	2.79e-28	1.78e-26	(B) Positive
ANLN	7p14.2	-1.31	-2.58	0.93	0.99	1.27	3.11e-28	1.97e-26	(A) Negative
IGFBP4	17q21.2	-0.57	0.73	0.96	0.86	-1.30	3.38e-28	2.13e-26	(B) Positive
FAM171A1	10p13	0.39	-1.42	1.34	0.87	1.80	3.41e-28	2.15e-26	(A) Negative
CELSR1	22q13.31	0.51	1.49	0.71	0.74	-0.98	3.63e-28	2.28e-26	(B) Positive
MPZL2	11q23.3	1.03	-0.36	1.01	1.10	1.39	3.71e-28	2.32e-26	(A) Negative
GLIPR2	9p13.3	2.22	1.06	0.86	0.79	1.16	3.79e-28	2.36e-26	(A) Negative
MAN2B2	4p16.1	0.47	1.25	0.58	0.49	-0.78	4.16e-28	2.58e-26	(B) Positive
NPRL2	3p21.31	-0.08	0.49	0.42	0.44	-0.58	4.85e-28	3.00e-26	(B) Positive
CERS6	2q24.3	0.71	1.92	0.90	0.64	-1.20	4.97e-28	3.07e-26	(B) Positive
SAG	2q37.1	0.11	1.77	1.19	1.49	-1.66	5.13e-28	3.15e-26	(B) Positive
ADGRG6	6q24.2	-1.19	-2.54	0.97	1.15	1.35	5.23e-28	3.20e-26	(A) Negative
HENMT1	1p13.3	0.54	-0.59	0.77	1.20	1.13	5.33e-28	3.25e-26	(A) Negative
IGF1R	15q26.3	-1.12	0.57	1.25	1.17	-1.69	5.35e-28	3.25e-26	(B) Positive
KRT16	17q21.2	1.95	-0.75	2.02	1.43	2.70	5.71e-28	3.46e-26	(A) Negative
DLGAP5	14q22.3	-1.41	-2.53	0.81	0.95	1.12	6.01e-28	3.63e-26	(A) Negative
LRIG1	3p14.1	0.60	1.75	0.85	0.88	-1.15	6.90e-28	4.15e-26	(B) Positive
FMO5	1q21.1	-1.46	0.22	1.21	1.49	-1.68	6.96e-28	4.17e-26	(B) Positive
IQCH	15q23	-0.40	0.65	0.78	0.72	-1.05	7.10e-28	4.24e-26	(B) Positive
PTPRT	20q12-q13.11	1.09	3.12	1.49	1.62	-2.03	7.14e-28	4.25e-26	(B) Positive
NCAM2	21q21.1	-2.60	-0.74	1.34	1.64	-1.86	7.37e-28	4.37e-26	(B) Positive
SRSF12	6q15	0.74	-1.80	1.91	0.91	2.54	7.92e-28	4.68e-26	(A) Negative
QDPR	4p15.32	-0.67	0.38	0.70	1.16	-1.04	8.04e-28	4.73e-26	(B) Positive
CEP55	10q23.33	-0.26	-1.52	0.92	1.06	1.26	8.13e-28	4.77e-26	(A) Negative
FYB2	1p32.2	-0.79	0.82	1.15	1.51	-1.61	8.17e-28	4.78e-26	(B) Positive
CHODL	21q21.1	2.45	0.08	1.79	1.00	2.37	8.31e-28	4.84e-26	(A) Negative
BEND3	6q21	0.08	-0.83	0.67	0.72	0.91	8.35e-28	4.84e-26	(A) Negative
TMEM161B	5q14.3	-1.29	-0.66	0.47	0.51	-0.64	8.37e-28	4.84e-26	(B) Positive
NDUFAF4	6q16.1	-0.24	-1.15	0.69	0.54	0.91	8.69e-28	5.01e-26	(A) Negative
DELE1	5q31.3	-0.75	-0.13	0.46	0.41	-0.62	9.62e-28	5.53e-26	(B) Positive
SPEF1	20p13	0.63	1.51	0.65	0.70	-0.88	9.66e-28	5.53e-26	(B) Positive
YBX3	12p13.2	0.23	-0.93	0.85	0.91	1.15	9.69e-28	5.53e-26	(A) Negative
KIAA0232	4p16.1	0.06	0.83	0.58	0.50	-0.77	9.94e-28	5.66e-26	(B) Positive
MRPS30	5p12	-1.09	-0.12	0.59	1.24	-0.96	1.19e-27	6.72e-26	(B) Positive
HEMK1	3p21.31	-0.96	-0.35	0.44	0.55	-0.61	1.22e-27	6.92e-26	(B) Positive
TMBIM4	12q14.3	0.48	1.24	0.57	0.48	-0.76	1.25e-27	7.07e-26	(B) Positive
HEXIM2	17q21.31	-0.48	0.33	0.60	0.62	-0.81	1.33e-27	7.47e-26	(B) Positive
CPB1	3q24	1.19	3.01	1.31	1.72	-1.83	1.35e-27	7.55e-26	(B) Positive
TRIM23	5q12.3	-0.23	0.49	0.53	0.53	-0.71	1.43e-27	7.96e-26	(B) Positive
TMEM144	4q32.1	1.01	2.17	0.86	0.81	-1.15	1.53e-27	8.51e-26	(B) Positive
MED13L	12q24.21	0.18	1.01	0.60	0.75	-0.83	1.60e-27	8.88e-26	(B) Positive
MSANTD3	9q31.1	-0.56	-1.32	0.57	0.52	0.76	1.61e-27	8.90e-26	(A) Negative
FOXC1	6p25.3	1.32	-1.26	1.97	1.14	2.58	1.82e-27	1.00e-25	(A) Negative
NCOA7	6q22.31-q22.32	1.16	-0.40	1.18	0.97	1.56	1.83e-27	1.01e-25	(A) Negative
ORC1	1p32.3	-2.13	-3.18	0.78	0.76	1.05	2.26e-27	1.23e-25	(A) Negative
CIPC	14q24.3	0.50	1.11	0.45	0.55	-0.61	2.31e-27	1.26e-25	(B) Positive
CENPN	16q23.2	-1.22	-2.14	0.69	0.68	0.92	2.32e-27	1.26e-25	(A) Negative
SRP14	15q22	0.25	0.82	0.42	0.46	-0.57	2.35e-27	1.27e-25	(B) Positive
DYNLRB2	16q23.2	0.70	3.09	1.82	1.27	-2.39	2.39e-27	1.29e-25	(B) Positive
GLS2	12q13.3	-1.35	0.04	1.05	0.99	-1.39	2.45e-27	1.32e-25	(B) Positive
INTS6L	Xq26.3	-0.24	-1.30	0.79	0.78	1.06	2.51e-27	1.35e-25	(A) Negative
ORAI3	16p11.2	-0.37	0.41	0.59	0.53	-0.78	2.54e-27	1.36e-25	(B) Positive
ATRIP	3p21.31	-0.35	0.31	0.49	0.54	-0.66	2.72e-27	1.45e-25	(B) Positive
SLC29A3	10q22.1	0.55	1.12	0.42	0.52	-0.57	2.76e-27	1.47e-25	(B) Positive
YEATS2	3q27.1	-0.35	-1.21	0.66	0.46	0.87	2.98e-27	1.58e-25	(A) Negative
MID1	Xp22	-0.05	-1.56	1.14	1.06	1.51	3.05e-27	1.61e-25	(A) Negative
MTFR2	6q23.3	-0.94	-2.19	0.93	1.01	1.25	3.31e-27	1.74e-25	(A) Negative
SERPINA5	14q32.13	-3.01	-0.79	1.64	1.92	-2.22	3.32e-27	1.74e-25	(B) Positive
RMND5B	5q35.3	-0.05	0.61	0.50	0.42	-0.66	3.50e-27	1.83e-25	(B) Positive
GATA2	3q21.3	-1.73	-0.78	0.69	0.93	-0.96	3.94e-27	2.06e-25	(B) Positive
FAM120AOS	9q22.31	0.09	0.86	0.58	0.57	-0.77	4.16e-27	2.17e-25	(B) Positive
SKP1	5q31.1	-0.20	0.49	0.53	0.48	-0.69	4.21e-27	2.19e-25	(B) Positive
SPG11	15q21.1	-0.32	0.24	0.42	0.39	-0.55	4.70e-27	2.43e-25	(B) Positive
XPA	9q22.33	-0.02	0.68	0.53	0.53	-0.70	4.81e-27	2.48e-25	(B) Positive
CCDC24	1p34.1	0.50	1.37	0.66	0.57	-0.87	5.55e-27	2.86e-25	(B) Positive
CACNA1D	3p21.1	0.15	1.35	0.90	1.00	-1.20	5.60e-27	2.87e-25	(B) Positive
TIGD6	5q32	0.28	0.94	0.49	0.49	-0.65	5.94e-27	3.04e-25	(B) Positive
RAD17	5q13.2	-0.66	-0.15	0.39	0.41	-0.51	6.02e-27	3.07e-25	(B) Positive
KAT6B	10q22.2	0.50	1.49	0.73	0.89	-0.99	7.31e-27	3.72e-25	(B) Positive
CST5	20p11.21	-0.04	0.66	0.48	0.80	-0.70	7.35e-27	3.73e-25	(B) Positive
NDUFAF1	15q15.1	-0.30	0.38	0.52	0.49	-0.68	8.01e-27	4.05e-25	(B) Positive
NDFIP1	5q31.3	0.28	0.85	0.42	0.46	-0.56	8.15e-27	4.11e-25	(B) Positive
TIGD2	4q22.1	0.58	-0.41	0.77	0.59	0.99	9.01e-27	4.53e-25	(A) Negative
CCDC82	11q21	-0.61	-1.65	0.80	0.75	1.04	9.13e-27	4.58e-25	(A) Negative
SLC36A4	11q21	-0.55	-1.59	0.80	0.78	1.04	9.18e-27	4.59e-25	(A) Negative
SMIM14	4p14	-0.11	1.23	1.04	0.73	-1.34	9.48e-27	4.73e-25	(B) Positive
TTC7A	2p21	0.18	-0.66	0.65	0.56	0.84	9.55e-27	4.75e-25	(A) Negative
KIF13B	8p12	0.41	1.24	0.60	0.80	-0.82	9.83e-27	4.87e-25	(B) Positive
SOWAHA	5q31.1	0.18	2.30	1.54	2.07	-2.12	1.02e-26	5.02e-25	(B) Positive
LBR	1q42.12	-0.44	-1.40	0.74	0.70	0.96	1.02e-26	5.02e-25	(A) Negative
ART3	4q21.1	0.48	-3.19	2.86	1.25	3.67	1.02e-26	5.02e-25	(A) Negative
PPP1R14B	11q13.1	0.12	-0.61	0.55	0.61	0.73	1.05e-26	5.12e-25	(A) Negative
HEBP1	12p13.1	0.42	1.34	0.62	1.09	-0.92	1.05e-26	5.13e-25	(B) Positive
EXO1	1q43	-1.12	-2.24	0.86	0.86	1.12	1.09e-26	5.33e-25	(A) Negative
POC5	5q13.3	-0.89	-0.31	0.44	0.46	-0.58	1.17e-26	5.66e-25	(B) Positive
IVD	15q15.1	-0.63	0.49	0.87	0.71	-1.12	1.18e-26	5.71e-25	(B) Positive
KCNK6	19q13.2	-0.68	0.26	0.72	0.73	-0.94	1.23e-26	5.96e-25	(B) Positive
SUOX	12q13.2	0.48	1.32	0.65	0.55	-0.84	1.28e-26	6.15e-25	(B) Positive
MYG1	12q13.13	-0.25	0.31	0.43	0.35	-0.55	1.28e-26	6.17e-25	(B) Positive
GLIPR1L2	12q21.2	0.72	1.86	0.85	1.02	-1.13	1.41e-26	6.76e-25	(B) Positive
KCNC2	12q21.1	0.29	1.75	0.74	2.20	-1.46	1.42e-26	6.76e-25	(B) Positive
TMEM123	11q22.2	0.47	-0.55	0.79	0.64	1.02	1.43e-26	6.79e-25	(A) Negative
CTPS1	1p34.2	-0.93	-1.90	0.75	0.67	0.97	1.46e-26	6.92e-25	(A) Negative
SSH3	11q13.2	0.18	1.12	0.73	0.62	-0.94	1.46e-26	6.92e-25	(B) Positive
TSPAN31	12q14.1	0.13	0.93	0.62	0.60	-0.80	1.61e-26	7.60e-25	(B) Positive
PDK1	2q31.1	-1.09	-2.13	0.80	0.70	1.04	1.61e-26	7.61e-25	(A) Negative
NPAS1	19q13.32	-2.05	-1.18	0.66	0.77	-0.87	1.64e-26	7.71e-25	(B) Positive
RSPH1	21q22.3	1.04	2.38	1.03	1.00	-1.35	1.71e-26	8.02e-25	(B) Positive
MYB	6q23.3	-2.10	-0.01	1.64	1.02	-2.10	1.75e-26	8.20e-25	(B) Positive
BTG2	1q32.1	0.58	1.71	0.87	0.84	-1.13	1.88e-26	8.77e-25	(B) Positive
CEBPB	20q13.13	1.38	0.48	0.69	0.69	0.90	2.01e-26	9.35e-25	(A) Negative
TMBIM6	12q13.12	0.04	0.77	0.56	0.47	-0.73	2.03e-26	9.41e-25	(B) Positive
KRT7	12q13.13	2.73	1.46	0.80	1.70	1.28	2.51e-26	1.16e-24	(A) Negative
RGMA	15q26.1	1.73	0.30	1.12	0.80	1.43	2.66e-26	1.23e-24	(A) Negative
CYP2A7	19q13.2	0.40	1.77	0.82	1.91	-1.38	2.72e-26	1.25e-24	(B) Positive
LRRC8B	1p22.2	0.76	0.07	0.53	0.54	0.69	2.74e-26	1.26e-24	(A) Negative
ATP11C	Xq27.1	0.37	-0.28	0.50	0.42	0.64	2.93e-26	1.34e-24	(A) Negative
DOK1	2p13.1	-0.05	0.69	0.56	0.72	-0.75	3.03e-26	1.38e-24	(B) Positive
PRR13	12q13.13	-0.10	0.47	0.44	0.35	-0.57	3.12e-26	1.42e-24	(B) Positive
INAVA	1q32.1	0.70	-0.89	1.21	1.34	1.58	3.18e-26	1.44e-24	(A) Negative
TICRR	15q26.1	-1.15	-2.35	0.93	0.94	1.20	3.53e-26	1.60e-24	(A) Negative
RET	10q11.21	-0.59	1.58	1.67	1.74	-2.17	3.76e-26	1.70e-24	(B) Positive
NECAB3	20q11.22	-0.75	0.17	0.70	0.74	-0.92	3.78e-26	1.70e-24	(B) Positive
IFT140	16p13.3	0.16	1.04	0.68	0.60	-0.88	3.83e-26	1.72e-24	(B) Positive
C17ORF58	17q24.2	-0.34	0.73	0.82	0.88	-1.07	3.87e-26	1.73e-24	(B) Positive
FBXL7	5p15.1	-0.34	0.51	0.65	0.72	-0.85	4.05e-26	1.81e-24	(B) Positive
CCNA2	4q27	-1.34	-2.43	0.84	0.87	1.09	4.24e-26	1.89e-24	(A) Negative
ACOT4	14q24.3	1.40	2.69	1.01	0.88	-1.29	4.30e-26	1.91e-24	(B) Positive
TSPAN1	1p34.1	0.46	2.40	1.53	0.98	-1.94	4.33e-26	1.92e-24	(B) Positive
ABCC13	21q11.2	0.11	1.41	0.87	1.62	-1.31	4.42e-26	1.95e-24	(B) Positive
ORC6	16q11.2	-1.90	-2.92	0.77	0.91	1.02	4.42e-26	1.95e-24	(A) Negative
MTMR2	11q21	-0.28	-1.03	0.59	0.49	0.75	4.67e-26	2.05e-24	(A) Negative
GCNT2	6p24.3-p24.2	0.69	-0.86	1.20	1.21	1.55	5.00e-26	2.19e-24	(A) Negative
REEP5	5q22.2	0.64	1.64	0.79	0.61	-1.00	5.13e-26	2.24e-24	(B) Positive
NKAIN1	1p35.2	-1.90	0.83	2.09	2.32	-2.73	5.36e-26	2.34e-24	(B) Positive
MAP3K12	12q13.13	-0.55	0.07	0.48	0.44	-0.62	5.42e-26	2.36e-24	(B) Positive
UBXN10	1p36.12	0.54	2.15	1.26	1.16	-1.62	5.57e-26	2.42e-24	(B) Positive
MYO10	5p15.1	-0.39	-1.50	0.87	0.75	1.10	5.83e-26	2.53e-24	(A) Negative
FMNL2	2q23.3	-0.45	-1.56	0.87	0.81	1.11	5.95e-26	2.57e-24	(A) Negative
TCTN1	12q24.11	0.30	1.12	0.64	0.59	-0.82	5.97e-26	2.57e-24	(B) Positive
MRAS	3q22.3	2.49	1.39	0.86	0.71	1.10	6.21e-26	2.67e-24	(A) Negative
POP1	8q22.2	0.10	-0.90	0.79	0.72	1.00	6.44e-26	2.76e-24	(A) Negative
KLHDC2	14q21.3	-0.55	0.14	0.53	0.57	-0.69	6.64e-26	2.84e-24	(B) Positive
LPIN1	2p25.1	-0.15	-1.31	0.92	0.60	1.16	6.72e-26	2.87e-24	(A) Negative
SAMD15	14q24.3	-0.48	0.54	0.79	0.84	-1.02	6.77e-26	2.88e-24	(B) Positive
SRPK1	6p21.31	-0.37	-1.20	0.65	0.49	0.82	7.22e-26	3.06e-24	(A) Negative
CFAP43	10q25.1	0.61	1.58	0.73	0.89	-0.97	7.49e-26	3.17e-24	(B) Positive
RHOB	2p24.1	0.63	1.81	0.94	0.69	-1.18	8.07e-26	3.41e-24	(B) Positive
NUMA1	11q13.4	0.06	0.73	0.52	0.62	-0.68	8.73e-26	3.68e-24	(B) Positive
EML4	2p21	-0.26	-1.06	0.63	0.55	0.79	8.83e-26	3.71e-24	(A) Negative
ERBB3	12q13.2	0.27	1.22	0.76	0.62	-0.96	9.24e-26	3.87e-24	(B) Positive
HEXIM1	17q21.31	0.06	0.93	0.68	0.65	-0.87	9.62e-26	4.02e-24	(B) Positive
TRMU	22q13.31	-0.51	-1.18	0.53	0.50	0.67	9.68e-26	4.03e-24	(A) Negative
TPX2	20q11.21	-0.97	-2.03	0.81	0.94	1.05	9.69e-26	4.03e-24	(A) Negative
KRT222	17q21.2	0.20	1.64	1.06	1.50	-1.44	9.70e-26	4.03e-24	(B) Positive
PEX11G	19p13.2	0.60	1.40	0.63	0.55	-0.80	9.98e-26	4.14e-24	(B) Positive
SH3BGRL	Xq21.1	0.86	2.11	0.92	1.30	-1.25	1.05e-25	4.35e-24	(B) Positive
PHGDH	1p12	-0.92	-2.45	1.20	1.14	1.53	1.15e-25	4.74e-24	(A) Negative
CMYA5	5q14.1	0.31	1.76	1.15	0.95	-1.44	1.35e-25	5.56e-24	(B) Positive
KCTD3	1q41	0.26	1.28	0.81	0.69	-1.02	1.38e-25	5.65e-24	(B) Positive
USB1	16q21	-0.04	-0.70	0.53	0.42	0.66	1.41e-25	5.77e-24	(A) Negative
HAPLN3	15q26.1	2.37	0.77	1.28	0.92	1.59	1.47e-25	6.01e-24	(A) Negative
ATP11A	13q34	-0.02	-0.86	0.68	0.49	0.84	1.50e-25	6.10e-24	(A) Negative
MS4A8	11q12.2	0.46	1.93	1.10	1.53	-1.48	1.52e-25	6.18e-24	(B) Positive
MCCC2	5q13.2	-0.55	0.51	0.83	0.89	-1.06	1.57e-25	6.35e-24	(B) Positive
CAMLG	5q31.1	0.14	0.76	0.49	0.42	-0.61	1.63e-25	6.61e-24	(B) Positive
KCNK5	6p21.2	0.26	-1.54	1.43	1.21	1.80	1.66e-25	6.71e-24	(A) Negative
PLEKHG1	6q25.1	3.06	2.02	0.83	0.71	1.04	1.87e-25	7.53e-24	(A) Negative
DNAH5	5p15.2	0.22	1.17	0.72	0.94	-0.96	1.88e-25	7.56e-24	(B) Positive
CISH	3p21.2	0.35	1.39	0.83	0.78	-1.04	1.92e-25	7.69e-24	(B) Positive
C1ORF198	1q42.2	1.68	0.90	0.62	0.60	0.78	1.96e-25	7.85e-24	(A) Negative
FOXP1	3p13	0.32	1.22	0.73	0.60	-0.91	2.06e-25	8.20e-24	(B) Positive
RAB11FIP3	16p13.3	-0.28	0.40	0.54	0.55	-0.68	2.09e-25	8.31e-24	(B) Positive
HASPIN	17p13.2	-0.86	-1.87	0.79	0.89	1.01	2.10e-25	8.35e-24	(A) Negative
CHEK1	11q24.2	-1.53	-2.84	1.05	0.97	1.32	2.14e-25	8.48e-24	(A) Negative
RNF103	2p11.2	1.28	1.99	0.57	0.49	-0.71	2.33e-25	9.23e-24	(B) Positive
LMNTD2	11p15.5	-0.14	0.65	0.62	0.64	-0.79	2.72e-25	1.07e-23	(B) Positive
FNIP1	5q31.1	-0.38	0.26	0.50	0.53	-0.64	2.82e-25	1.11e-23	(B) Positive
TTC8	14q31.3	-0.90	0.02	0.74	0.64	-0.93	2.86e-25	1.12e-23	(B) Positive
CMC2	16q23.2	-0.79	-1.49	0.55	0.56	0.70	3.14e-25	1.23e-23	(A) Negative
PDSS1	10p12.1	-0.30	-1.25	0.77	0.59	0.95	3.15e-25	1.23e-23	(A) Negative
CPLX1	4p16.3	0.20	0.69	0.39	0.44	-0.50	3.30e-25	1.29e-23	(B) Positive
CFAP61	20p11.23	1.35	2.65	1.01	1.19	-1.30	3.33e-25	1.30e-23	(B) Positive
RAD54L	1p34.1	-1.44	-2.38	0.76	0.66	0.94	3.57e-25	1.38e-23	(A) Negative
ELOVL5	6p12.1	-0.30	0.76	0.84	0.94	-1.07	4.10e-25	1.59e-23	(B) Positive
FZD9	7q11.23	0.09	-1.83	1.57	0.80	1.92	4.16e-25	1.61e-23	(A) Negative
PPM1J	1p13.2	0.24	1.50	1.01	0.98	-1.27	4.19e-25	1.62e-23	(B) Positive
TRIM29	11q23.3	1.03	-0.62	1.31	1.39	1.65	4.54e-25	1.75e-23	(A) Negative
SH3GLB2	9q34.11	-0.68	-0.07	0.49	0.54	-0.62	4.78e-25	1.83e-23	(B) Positive
SINHCAF	12p11.21	-0.32	-1.18	0.69	0.67	0.87	5.04e-25	1.93e-23	(A) Negative
ASPM	1q31.3	-0.82	-1.83	0.79	0.86	1.00	5.36e-25	2.05e-23	(A) Negative
KIF14	1q32.1	-1.20	-2.31	0.87	1.00	1.11	5.48e-25	2.09e-23	(A) Negative
LONRF2	2q11.2	-2.00	0.17	1.76	1.48	-2.18	5.50e-25	2.09e-23	(B) Positive
MEX3A	1q22	1.25	-0.37	1.29	1.19	1.61	5.55e-25	2.11e-23	(A) Negative
BCL2	18q21.33	0.37	2.21	1.49	1.30	-1.84	5.63e-25	2.13e-23	(B) Positive
SMC6	2p24.2	-0.37	-1.02	0.52	0.44	0.65	5.72e-25	2.16e-23	(A) Negative
GUSBP2	6p22.2	-1.55	-0.61	0.74	0.86	-0.94	5.77e-25	2.18e-23	(B) Positive
TPRN	9q34.3	-0.16	0.79	0.76	0.70	-0.95	6.07e-25	2.28e-23	(B) Positive
RALGPS2	1q25.2	-0.35	1.14	1.22	0.85	-1.49	6.08e-25	2.28e-23	(B) Positive
RNF145	5q33.3	-0.89	-2.01	0.89	0.85	1.11	6.44e-25	2.41e-23	(A) Negative
TMEM145	19q13.2	-1.89	-0.88	0.74	1.14	-1.01	6.53e-25	2.44e-23	(B) Positive
SLC6A14	Xq23	-0.97	-3.48	2.06	1.31	2.51	6.57e-25	2.45e-23	(A) Negative
HMGA1	6p21.31	-0.88	-1.63	0.61	0.48	0.75	7.63e-25	2.84e-23	(A) Negative
CYRIA	2p24.2	2.74	1.67	0.87	0.76	1.07	7.74e-25	2.87e-23	(A) Negative
YES1	18p11.32	0.38	-0.37	0.61	0.54	0.75	8.09e-25	2.99e-23	(A) Negative
MYRIP	3p22.1	0.10	1.96	1.51	1.35	-1.86	8.10e-25	2.99e-23	(B) Positive
PLIN5	19p13.3	0.19	1.31	0.89	0.97	-1.12	8.18e-25	3.02e-23	(B) Positive
PNPLA4	Xp22.31	0.38	1.55	0.96	0.75	-1.18	8.22e-25	3.03e-23	(B) Positive
TRPV6	7q34	3.14	1.58	1.25	1.26	1.56	8.25e-25	3.03e-23	(A) Negative
PPARA	22q13.31	0.06	-0.73	0.65	0.50	0.79	8.26e-25	3.03e-23	(A) Negative
CENPO	2p23.3	-0.70	-1.61	0.73	0.70	0.90	8.52e-25	3.12e-23	(A) Negative
PLCB4	20p12.3-p12.2	0.71	-0.65	1.03	1.44	1.36	8.81e-25	3.22e-23	(A) Negative
PLEKHF2	8q22.1	0.61	1.76	0.93	0.82	-1.15	9.15e-25	3.33e-23	(B) Positive
MICAL2	11p15.3	1.22	2.67	1.15	1.25	-1.45	9.56e-25	3.48e-23	(B) Positive
CLBA1	14q32.33	-0.01	0.80	0.66	0.65	-0.82	9.59e-25	3.48e-23	(B) Positive
AURKB	17p13.1	-1.44	-2.26	0.66	0.70	0.82	1.02e-24	3.71e-23	(A) Negative
STIL	1p33	-0.95	-1.96	0.82	0.76	1.01	1.06e-24	3.84e-23	(A) Negative
TESMIN	11q13.3	0.53	1.65	0.90	0.93	-1.13	1.08e-24	3.89e-23	(B) Positive
RALGAPA1	14q13.2	-0.26	0.34	0.49	0.43	-0.60	1.08e-24	3.89e-23	(B) Positive
LRTOMT	11q13.4	0.37	1.30	0.75	0.64	-0.92	1.08e-24	3.89e-23	(B) Positive
STOX2	4q35.1	0.73	-0.85	1.30	0.97	1.58	1.15e-24	4.13e-23	(A) Negative
POLD4	11q13.2	-0.03	0.76	0.65	0.55	-0.79	1.30e-24	4.65e-23	(B) Positive
PRRT3	3p25.3	0.52	1.65	0.93	0.80	-1.13	1.36e-24	4.86e-23	(B) Positive
PLA2G10	16p13.12	0.29	1.90	1.28	1.50	-1.61	1.38e-24	4.91e-23	(B) Positive
NHERF1	17q25.1	0.21	1.39	0.96	0.92	-1.18	1.38e-24	4.92e-23	(B) Positive
ZNF280C	Xq26.1	-0.10	-0.93	0.68	0.49	0.83	1.39e-24	4.94e-23	(A) Negative
PRKAA1	5p13.1	-0.51	-1.35	0.67	0.75	0.84	1.42e-24	5.02e-23	(A) Negative
POLR2F	22q13.1	-0.05	-0.70	0.53	0.45	0.65	1.43e-24	5.04e-23	(A) Negative
SEPHS1	10p13	0.49	-0.39	0.73	0.53	0.88	1.44e-24	5.06e-23	(A) Negative
TBX3	12q24.21	-0.53	1.05	1.28	1.30	-1.58	1.48e-24	5.20e-23	(B) Positive
RIPK4	21q22.3	-0.61	-1.69	0.84	1.07	1.08	1.48e-24	5.20e-23	(A) Negative
SLC7A13	8q21.3	0.61	1.87	0.99	1.24	-1.26	1.50e-24	5.25e-23	(B) Positive
TPBG	6q14.1	-0.32	0.82	0.93	0.81	-1.14	1.58e-24	5.51e-23	(B) Positive
CHCHD5	2q14.1	-0.13	0.58	0.59	0.48	-0.71	1.63e-24	5.69e-23	(B) Positive
SUV39H2	10p13	-0.20	-1.15	0.79	0.56	0.95	1.65e-24	5.74e-23	(A) Negative
PIGH	14q24.1	-0.58	0.15	0.60	0.57	-0.73	1.65e-24	5.74e-23	(B) Positive
FANCA	16q24.3	-1.57	-2.88	1.08	0.87	1.31	1.68e-24	5.82e-23	(A) Negative
PDHB	3p14.3	-0.67	-0.12	0.43	0.53	-0.55	1.77e-24	6.13e-23	(B) Positive
MS4A2	11q12.1	1.00	2.68	1.35	1.47	-1.68	1.78e-24	6.14e-23	(B) Positive
IL12RB2	1p31.3	2.54	0.55	1.65	1.22	1.99	1.84e-24	6.33e-23	(A) Negative
NT5DC2	3p21.1	-1.00	-2.03	0.85	0.74	1.04	1.93e-24	6.65e-23	(A) Negative
TNFRSF21	6p12.3	0.44	-0.77	0.99	0.86	1.20	1.96e-24	6.73e-23	(A) Negative
EGLN1	1q42.2	-0.70	-1.57	0.71	0.62	0.87	2.03e-24	6.95e-23	(A) Negative
LRBA	4q31.3	0.66	1.53	0.72	0.60	-0.87	2.04e-24	6.96e-23	(B) Positive
CREB3L2	7q33	1.09	0.18	0.75	0.60	0.91	2.12e-24	7.24e-23	(A) Negative
NFIB	9p23-p22.3	3.00	1.47	1.25	1.20	1.53	2.14e-24	7.28e-23	(A) Negative
AMD1	6q21	0.25	-0.76	0.83	0.70	1.00	2.22e-24	7.55e-23	(A) Negative
RBM38	20q13.31	0.18	-0.65	0.68	0.59	0.83	2.24e-24	7.59e-23	(A) Negative
GLI3	7p14.1	-0.31	1.15	1.21	1.01	-1.46	2.25e-24	7.61e-23	(B) Positive
ROPN1	3q21.1	1.12	-2.46	2.99	1.81	3.58	2.36e-24	7.98e-23	(A) Negative
EN1	2q14.2	3.45	0.95	2.10	1.21	2.51	2.72e-24	9.17e-23	(A) Negative
VAV3	1p13.3	1.80	3.56	1.46	1.14	-1.76	2.73e-24	9.19e-23	(B) Positive
